time_ms,last_distance_cm,avg_distance_cm
271,12.53,13.87
606,14.47,13.82
941,13.81,14.41
1276,16.76,14.83
1611,13.48,14.56
1947,15.76,14.83
2281,14.47,14.74
2616,14.12,14.42
2952,14.12,15.20
3286,16.07,14.97
3621,15.12,14.74
3956,16.09,14.93
4292,16.40,16.31
4628,16.74,16.50
4963,16.41,17.06
5298,16.43,16.78
5633,17.71,17.20
5969,18.67,18.72
6303,19.02,18.67
6639,19.02,18.95
6973,19.31,18.86
7310,19.97,19.36
7644,19.31,19.04
7979,20.29,20.29
8315,21.26,20.99
8651,25.14,23.06
8985,20.29,24.68
9322,22.88,21.72
9658,22.22,22.56
9993,22.22,22.60
10328,21.57,22.23
10664,22.55,22.74
11000,24.17,23.57
11337,25.14,24.45
11673,23.21,23.90
12008,24.17,23.43
12343,24.83,24.59
12678,25.79,24.54
13013,26.76,25.05
13348,24.48,25.28
13683,28.05,26.30
14018,26.10,26.02
14353,27.40,26.30
14688,26.10,27.08
15023,25.14,26.07
15358,25.79,25.60
15693,25.47,25.93
16028,25.79,26.07
16364,26.76,26.21
16699,29.03,27.00
17034,28.07,27.56
17369,28.72,28.02
17704,28.69,28.79
18039,30.31,29.67
18374,31.29,30.88
18709,32.91,32.17
19044,36.50,34.63
19381,37.47,36.76
19716,37.45,37.72
20052,40.98,38.78
20386,38.72,39.29
20722,38.72,38.64
21057,39.71,39.11
21392,38.40,38.45
21727,36.79,37.71
22061,34.21,35.92
22396,32.90,33.60
22731,30.64,31.84
23066,30.34,30.28
23401,30.02,30.19
23737,29.67,29.91
24073,25.47,28.15
24408,25.16,25.56
24743,25.47,25.57
25078,27.40,25.51
25413,24.17,25.14
25748,23.52,24.22
26083,22.55,23.85
26418,21.57,21.40
26752,19.64,19.97
27088,19.64,19.74
27424,18.34,19.23
27759,17.36,18.21
28094,16.76,17.33
28428,16.76,16.73
28763,16.07,16.45
29099,17.05,16.59
29435,17.05,16.83
29769,16.07,16.41
30104,16.43,17.29
30439,16.72,16.41
30776,16.45,16.46
31111,12.52,15.77
31445,10.29,11.60
31780,9.29,10.31
32115,11.22,10.49
32450,10.26,10.72
32786,9.93,10.03
33121,9.28,10.26
33456,10.26,9.89
33791,9.95,10.04
34126,9.62,9.66
34461,9.93,8.91
34795,8.00,8.59
35130,7.67,8.13
35467,7.66,7.76
35802,7.98,7.76
36138,8.00,8.04
36474,8.31,7.50
36809,11.21,12.11
37143,6.05,8.77
37480,6.38,6.93
37816,6.05,6.05
38151,5.40,6.00
38486,5.40,5.59
38821,8.31,6.28
39158,47.47,19.05
39494,46.50,47.79
39829,50.05,47.88
40163,16.09,38.68
40500,36.14,24.09
40834,16.45,31.53
41168,13.50,18.08
41503,14.47,14.19
41841,47.14,20.24
42174,6.36,44.74
42511,47.79,36.74
42844,9.60,32.21
43179,8.33,10.31
43514,7.66,8.64
43849,9.60,9.01
44184,9.60,8.45
44519,9.29,9.01
44854,9.93,10.87
45189,8.31,9.10
45525,6.69,7.48
45861,4.43,5.77
46195,3.16,4.35
46531,2.84,3.24
46866,2.81,2.64
47201,1.84,2.53
47536,3.14,2.04
47871,1.84,2.12
48206,2.48,2.21
48540,1.84,3.00
48876,10.57,4.11
49210,3.79,4.71
49546,2.48,3.04
49881,2.48,2.45
50216,2.16,2.35
50551,1.84,2.77
50886,2.17,2.21
51221,1.84,2.26
51555,1.52,2.90
51892,2.48,2.22
52227,2.50,2.45
52562,4.45,3.10
52896,4.43,4.30
53232,5.41,4.95
53568,5.40,5.41
53903,6.71,6.24
54238,8.64,7.30
54573,8.64,8.13
54908,9.60,8.59
55243,8.97,9.43
55578,10.91,10.17
55913,11.53,11.09
56248,12.52,12.42
56583,14.45,13.72
56918,14.47,14.33
57255,14.47,14.70
57590,15.79,15.26
57924,16.72,16.00
58259,16.72,16.72
58594,9.64,12.57
58930,8.97,9.84
59265,9.28,9.38
59600,9.29,9.24
59935,9.28,9.20
60270,9.29,9.24
60605,8.95,9.24
60940,9.28,9.20
61275,9.28,9.28
61610,9.28,9.19
61945,9.29,9.24
62280,9.29,9.24
62615,8.97,9.14
62950,13.17,9.98
63285,15.76,15.12
63620,16.40,16.13
63955,16.09,16.45
64290,16.41,16.36
64625,17.07,16.68
64960,16.74,16.87
65295,16.40,16.59
65630,16.09,16.27
65965,16.72,16.36
66300,16.41,16.50
66635,16.07,16.46
66970,16.72,16.45
67306,17.05,16.64
67640,16.41,16.60
67976,16.07,16.18
68310,17.05,16.54
68645,16.72,16.87
68980,16.40,16.72
69317,16.72,16.45
69651,16.72,16.55
69986,16.09,16.27
70321,17.03,16.46
70656,19.31,17.93
70991,21.59,20.34
71327,23.84,22.60
71662,27.40,25.83
71998,29.36,28.30
72333,26.79,29.13
72668,25.14,27.04
